"site";"decor";"id";"type";"technlg";"incmplt";"geometry"
"EAMENA-0192647";"crvn";1;"caravanserail";"-";0;"POLYGON ((59.62285 33.44892, 59.62313 33.44878, 59.62325 33.44898, 59.62301 33.44911, 59.62285 33.44892))"
"EAMENA-0192648";"crvn";1;"caravanserail";"-";0;"POLYGON ((58.98337 35.23077, 58.98352 35.2307, 58.98378 35.23099, 58.98366 35.23107, 58.98337 35.23077))"
"EAMENA-0192649";"crvn";1;"caravanserail";"-";0;"POLYGON ((58.45262 35.47498, 58.45261 35.47486, 58.45278 35.47487, 58.45281 35.47497, 58.45262 35.47498))"
"EAMENA-0192650";"crvn";1;"caravanserail";"-";0;"POLYGON ((60.15434 36.10316, 60.15507 36.10296, 60.15539 36.10377, 60.15468 36.10393, 60.15434 36.10316))"
"EAMENA-0192651";"crvn";1;"caravanserail";"-";0;"POLYGON ((59.75157 36.09838, 59.75105 36.09916, 59.75057 36.09894, 59.75121 36.09813, 59.75157 36.09838))"
"EAMENA-0192632";"crvn";1;"caravanserail";"-";0;"POLYGON ((57.67654 33.00985, 57.67682 33.0096, 57.67702 33.00976, 57.67672 33.01001, 57.67654 33.00985))"
"EAMENA-0192633";"crvn";1;"caravanserail";"-";0;"POLYGON ((58.15527 34.291, 58.15583 34.29073, 58.15609 34.29118, 58.15558 34.29139, 58.15527 34.291))"
"EAMENA-0192634";"crvn";1;"caravanserail";"-";0;"POLYGON ((57.83513 33.74946, 57.83533 33.74919, 57.83559 33.74931, 57.83538 33.7496, 57.83513 33.74946))"
"EAMENA-0192635";"crvn";1;"caravanserail";"-";0;"POLYGON ((57.80397 33.86174, 57.80408 33.86148, 57.80456 33.8616, 57.80446 33.8619, 57.80397 33.86174))"
"EAMENA-0192637";"crvn";1;"caravanserail";"-";0;"POLYGON ((58.38116 36.03816, 58.38216 36.03789, 58.38254 36.03831, 58.38141 36.03861, 58.38116 36.03816))"
"EAMENA-0192638";"crvn";1;"caravanserail";"-";0;"POLYGON ((59.61449 36.06465, 59.61508 36.06423, 59.61534 36.06446, 59.61474 36.06486, 59.61449 36.06465))"
"EAMENA-0192643";"crvn";1;"caravanserail";"-";0;"POLYGON ((57.47531 32.50708, 57.47545 32.50708, 57.47548 32.50716, 57.47557 32.50716, 57.47558 32.50723, 57.47533 32.50727, 57.47531 32.50708))"
